TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W11;CH;Y0T4;F;P;4
2020-W11;CH;Y0T4;M;P;4
2020-W11;CH;Y15T19;T;P;2
2020-W11;CH;Y15T19;M;P;2
2020-W11;CH;Y25T29;T;P;4
2020-W11;CH;Y25T29;M;P;4
2020-W11;CH;Y30T34;T;P;3
2020-W11;CH;Y30T34;F;P;2
2020-W11;CH;Y30T34;M;P;1
2020-W11;CH;Y35T39;T;P;6
2020-W11;CH;Y35T39;F;P;1
2020-W11;CH;Y35T39;M;P;5
2020-W11;CH;Y40T44;T;P;12
2020-W11;CH;Y40T44;F;P;4
2020-W11;CH;Y40T44;M;P;8
2020-W11;CH;Y45T49;T;P;14
2020-W11;CH;Y45T49;F;P;9
2020-W11;CH;Y45T49;M;P;5
2020-W11;CH;Y50T54;T;P;22
2020-W11;CH;Y50T54;F;P;9
2020-W11;CH;Y50T54;M;P;13
2020-W11;CH;Y55T59;T;P;32
2020-W11;CH;Y55T59;F;P;16
2020-W11;CH;Y55T59;M;P;16
2020-W11;CH;Y60T64;T;P;46
2020-W11;CH;Y60T64;F;P;16
2020-W11;CH;Y60T64;M;P;30
2020-W11;CH;Y65T69;T;P;67
2020-W11;CH;Y65T69;F;P;31
2020-W11;CH;Y65T69;M;P;36
2020-W11;CH;Y70T74;T;P;113
2020-W11;CH;Y70T74;F;P;55
2020-W11;CH;Y70T74;M;P;58
2020-W11;CH;Y75T79;T;P;166
2020-W11;CH;Y75T79;F;P;73
2020-W11;CH;Y75T79;M;P;93
2020-W11;CH;Y80T84;T;P;210
2020-W11;CH;Y80T84;F;P;86
2020-W11;CH;Y80T84;M;P;124
2020-W11;CH;Y85T89;T;P;277
2020-W11;CH;Y85T89;F;P;154
2020-W11;CH;Y85T89;M;P;123
2020-W11;CH;Y_GE90;T;P;402
2020-W11;CH;Y_GE90;F;P;270
2020-W11;CH;Y_GE90;M;P;132
2020-W12;CH;_T;T;P;1523
2020-W12;CH;_T;F;P;759
2020-W12;CH;_T;M;P;764
2020-W12;CH;Y0T4;T;P;7
2020-W12;CH;Y0T4;F;P;4
2020-W12;CH;Y0T4;M;P;3
2020-W12;CH;Y5T9;T;P;1
2020-W12;CH;Y5T9;M;P;1
2020-W12;CH;Y10T14;T;P;1
2020-W12;CH;Y10T14;M;P;1
2020-W12;CH;Y20T24;T;P;1
2020-W12;CH;Y20T24;M;P;1
2020-W12;CH;Y25T29;T;P;2
2020-W12;CH;Y25T29;F;P;1
2020-W12;CH;Y25T29;M;P;1
2020-W12;CH;Y30T34;T;P;6
2020-W12;CH;Y30T34;F;P;3
2020-W12;CH;Y30T34;M;P;3
2020-W12;CH;Y35T39;T;P;9
2020-W12;CH;Y35T39;F;P;5
2020-W12;CH;Y35T39;M;P;4
2020-W12;CH;Y40T44;T;P;5
2020-W12;CH;Y40T44;F;P;1
2020-W12;CH;Y40T44;M;P;4
2020-W12;CH;Y45T49;T;P;14
2020-W12;CH;Y45T49;F;P;6
2020-W12;CH;Y45T49;M;P;8
2020-W12;CH;Y50T54;T;P;28
2020-W12;CH;Y50T54;F;P;8
2020-W12;CH;Y50T54;M;P;20
2020-W12;CH;Y55T59;T;P;39
2020-W12;CH;Y55T59;F;P;15
2020-W12;CH;Y55T59;M;P;24
2020-W12;CH;Y60T64;T;P;54
2020-W12;CH;Y60T64;F;P;20
2020-W12;CH;Y60T64;M;P;34
2020-W12;CH;Y65T69;T;P;78
2020-W12;CH;Y65T69;F;P;30
2020-W12;CH;Y65T69;M;P;48
2020-W12;CH;Y70T74;T;P;123
2020-W12;CH;Y70T74;F;P;43
2020-W12;CH;Y70T74;M;P;80
2020-W12;CH;Y75T79;T;P;183
2020-W12;CH;Y75T79;F;P;81
2020-W12;CH;Y75T79;M;P;102
2020-W12;CH;Y80T84;T;P;250
2020-W12;CH;Y80T84;F;P;106
2020-W12;CH;Y80T84;M;P;144
2020-W12;CH;Y85T89;T;P;281
2020-W12;CH;Y85T89;F;P;138
2020-W12;CH;Y85T89;M;P;143
2020-W12;CH;Y_GE90;T;P;441
2020-W12;CH;Y_GE90;F;P;298
2020-W12;CH;Y_GE90;M;P;143
2020-W13;CH;_T;T;P;1608
2020-W13;CH;_T;F;P;767
2020-W13;CH;_T;M;P;841
2020-W13;CH;Y0T4;T;P;6
2020-W13;CH;Y0T4;F;P;2
2020-W13;CH;Y0T4;M;P;4
2020-W13;CH;Y5T9;T;P;1
2020-W13;CH;Y5T9;M;P;1
2020-W13;CH;Y15T19;T;P;2
2020-W13;CH;Y15T19;F;P;1
2020-W13;CH;Y15T19;M;P;1
2020-W13;CH;Y20T24;T;P;5
2020-W13;CH;Y20T24;F;P;1
2020-W13;CH;Y20T24;M;P;4
2020-W13;CH;Y25T29;T;P;2
2020-W13;CH;Y25T29;M;P;2
2020-W13;CH;Y30T34;T;P;4
2020-W13;CH;Y30T34;M;P;4
2020-W13;CH;Y35T39;T;P;6
2020-W13;CH;Y35T39;F;P;4
2020-W13;CH;Y35T39;M;P;2
2020-W13;CH;Y40T44;T;P;8
2020-W13;CH;Y40T44;F;P;1
2020-W13;CH;Y40T44;M;P;7
2020-W13;CH;Y45T49;T;P;14
2020-W13;CH;Y45T49;F;P;3
2020-W13;CH;Y45T49;M;P;11
